Date,USD/BGN,USD/HUF,USD/EUR
6/1/2020,1.75205,312.329987,0.8994
6/2/2020,1.749698,309.790009,0.8988
6/3/2020,1.7409,309.019989,0.8937
6/4/2020,1.7312,306.959991,0.89
6/5/2020,1.718446,303.899994,0.882
6/8/2020,1.722744,303.38501,0.88343
6/9/2020,1.723689,303.826996,0.88452
6/10/2020,1.71477,303.540009,0.88244
6/11/2020,1.711934,302.106995,0.87986
6/12/2020,1.72521,306.369995,0.88589
6/15/2020,1.72663,308,0.88873
6/16/2020,1.719951,304.928986,0.88201
6/17/2020,1.72835,306.350006,0.88765
6/18/2020,1.728135,306.351013,0.88945
6/19/2020,1.73551,308.552002,0.891981
6/22/2020,1.74267,309.359009,0.89465
6/23/2020,1.72587,307.416992,0.88655
6/24/2020,1.71685,308.51001,0.88399
6/25/2020,1.72807,312.381012,0.88882
6/26/2020,1.736416,315.265015,0.8911
6/29/2020,1.73201,316.25,0.8908
6/30/2020,1.7288,316.598999,0.88911
7/1/2020,1.73101,315.44101,0.89
7/2/2020,1.7279,313.220001,0.88878
7/3/2020,1.73,312.410004,0.88985
7/6/2020,1.731723,313.88501,0.88911
7/7/2020,1.71951,311.26001,0.88395
7/8/2020,1.72335,314.084991,0.8869
7/9/2020,1.71919,312.890015,0.8819
7/10/2020,1.725906,312.880005,0.8859
7/13/2020,1.72095,312.26001,0.88417
7/14/2020,1.71381,313,0.881407
7/15/2020,1.7044,311.035004,0.87637
7/16/2020,1.7038,309.541992,0.875872
7/17/2020,1.70787,310.570007,0.8778
7/20/2020,1.7004,308.359985,0.8739
7/21/2020,1.69875,307.179993,0.8727
7/22/2020,1.689492,303.670013,0.867
7/23/2020,1.682873,300.654999,0.8644
7/24/2020,1.6759,298.709991,0.86236
7/27/2020,1.67089,296.799988,0.85818
7/28/2020,1.65321,293.95401,0.84967
7/29/2020,1.65909,295.929993,0.85333
7/30/2020,1.652686,292.929993,0.84869
7/31/2020,1.63577,290.519989,0.8423
8/3/2020,1.6471,292.005005,0.84873
8/4/2020,1.6531,292.799988,0.8501
8/5/2020,1.651442,292.940002,0.84635
8/6/2020,1.6373,290.278992,0.84226
8/7/2020,1.640189,291.119995,0.842
8/10/2020,1.650543,293.709991,0.8487
8/11/2020,1.6559,293.403015,0.85195
8/12/2020,1.6555,293.640015,0.85204
8/13/2020,1.6491,292.505005,0.847903
8/14/2020,1.648836,291.959991,0.84627
8/17/2020,1.64187,292.059998,0.8437
8/18/2020,1.63663,293.720001,0.842
8/19/2020,1.632076,291.709991,0.83697
8/20/2020,1.63939,294.36499,0.844345
8/21/2020,1.63841,293.346008,0.8422
8/24/2020,1.64689,296.5,0.8476
8/25/2020,1.6485,298.085999,0.84785
8/26/2020,1.6428,297.748993,0.84495
8/27/2020,1.64231,300.184998,0.8444
8/28/2020,1.64475,301.095001,0.84605
8/31/2020,1.63341,296.662994,0.83905
9/1/2020,1.63199,297.346008,0.83759
9/2/2020,1.634617,298.380005,0.8387
9/3/2020,1.643805,302.23999,0.84407
9/4/2020,1.641869,302.940002,0.84461
9/7/2020,1.651358,304.230011,0.84499
9/8/2020,1.651383,304.190002,0.8459
9/9/2020,1.66067,303.463013,0.8496
9/10/2020,1.64699,302.299988,0.847
9/11/2020,1.647879,302.136993,0.84571
9/14/2020,1.645355,301.584015,0.8444
9/15/2020,1.638,300.950012,0.84246
9/16/2020,1.6413,301.945007,0.84428
9/17/2020,1.648406,304.089996,0.84721
9/18/2020,1.635102,304.109985,0.84401
9/21/2020,1.64131,304.049988,0.8442
9/22/2020,1.65181,307.649994,0.849762
9/23/2020,1.66181,309.799988,0.85409
9/24/2020,1.670458,313.200012,0.85774
9/25/2020,1.670296,310.542999,0.85666
9/28/2020,1.67529,312.019989,0.85945
9/29/2020,1.6661,313.093994,0.85625
9/30/2020,1.65633,310.785004,0.85164
10/1/2020,1.6584,309.725006,0.8528
10/2/2020,1.6554,305.200012,0.85143
10/5/2020,1.6597,305.799988,0.85321
10/6/2020,1.65285,305.980011,0.848
10/7/2020,1.658687,307.005005,0.85196
10/8/2020,1.65191,304.910004,0.8498
10/9/2020,1.656343,303.519989,0.849834
10/12/2020,1.644077,301.299988,0.84625
10/13/2020,1.6457,302.570007,0.8463
10/14/2020,1.65513,307.799988,0.85163
10/15/2020,1.6553,309.350006,0.8515
10/16/2020,1.664364,311.23999,0.85418
10/19/2020,1.65961,310.734985,0.85357
10/20/2020,1.65181,309.899994,0.8497
10/21/2020,1.64709,306.709991,0.84532
10/22/2020,1.63737,306.589996,0.8436
10/23/2020,1.6444,308.23999,0.84638
10/26/2020,1.63901,307.859985,0.84399
10/27/2020,1.6463,308.824005,0.84678
10/28/2020,1.65099,309.765015,0.8486
10/29/2020,1.6547,313.480011,0.85116
10/30/2020,1.665796,314.524994,0.85626
11/2/2020,1.66931,314.619995,0.85895
11/3/2020,1.67419,314.570007,0.8589
11/4/2020,1.659858,308.52301,0.85018
11/5/2020,1.660551,309.048004,0.85232
11/6/2020,1.6436,303.295013,0.8462
11/9/2020,1.6369,301.230011,0.84083
11/10/2020,1.6457,303.394989,0.8455
11/11/2020,1.64417,301.089996,0.84611
11/12/2020,1.6504,301.51001,0.848875
11/13/2020,1.6467,300.480011,0.847214
11/16/2020,1.64183,302.119995,0.84422
11/17/2020,1.6397,302.790009,0.84321
11/18/2020,1.63861,304.579987,0.84291
11/19/2020,1.6401,303.880005,0.84405
11/20/2020,1.63771,302.345001,0.84271
11/23/2020,1.6394,302.670013,0.84271
11/24/2020,1.642,304.299011,0.8444
11/25/2020,1.6346,303.029999,0.8403
11/26/2020,1.63151,302.855011,0.838926
11/27/2020,1.635662,302.651001,0.839208
11/30/2020,1.6252,301.850006,0.83532
12/1/2020,1.630897,300.619995,0.83765
12/2/2020,1.61,295.06601,0.8282
12/3/2020,1.6045,296.679993,0.82545
12/4/2020,1.59805,293.846985,0.82334
12/7/2020,1.607578,295.695007,0.82499
12/8/2020,1.60769,297.299011,0.82555
12/9/2020,1.60551,296.092987,0.8257
12/10/2020,1.6093,294.683014,0.8279
12/11/2020,1.60091,291.410004,0.823432
12/14/2020,1.60303,292.005005,0.824171
12/15/2020,1.60051,291.399994,0.82312
12/16/2020,1.603031,292.890015,0.822754
12/17/2020,1.597262,291.179993,0.8197
12/18/2020,1.588347,289.679993,0.81548
12/21/2020,1.592711,292.605011,0.81859
12/22/2020,1.5879,294.350006,0.8172
12/23/2020,1.60171,296.950012,0.82057
12/24/2020,1.598182,296.755005,0.82025
12/25/2020,1.59725,297.559998,0.8207
12/28/2020,1.598868,296.665985,0.81933
12/29/2020,1.596301,297.497009,0.8181
12/30/2020,1.58521,297.394989,0.81613
12/31/2020,1.584197,296.095001,0.813015
1/1/2021,1.5905,296.76001,0.821
1/4/2021,1.59439,295.600006,0.81628
1/5/2021,1.590394,294.690002,0.81622
1/6/2021,1.5808,291.653992,0.81299
1/7/2021,1.57651,290.509003,0.8103
1/8/2021,1.5844,292.76001,0.8149
1/11/2021,1.591666,294.868011,0.8206
1/12/2021,1.59941,296.924988,0.822321
1/13/2021,1.595907,293.778992,0.819075
1/14/2021,1.602616,296.26001,0.8222
1/15/2021,1.59921,295.630005,0.82296
1/18/2021,1.618753,298.390015,0.82863
1/19/2021,1.6098,297.519989,0.828
1/20/2021,1.60263,294.670013,0.8238
1/21/2021,1.608991,294.640015,0.82538
1/22/2021,1.59765,293.079987,0.821943
1/25/2021,1.600079,293.519989,0.82173
1/26/2021,1.607431,294.339996,0.8233
1/27/2021,1.601769,295.5,0.822166
1/28/2021,1.606,297.703003,0.8261
1/29/2021,1.60213,295.829987,0.82508
2/1/2021,1.60245,294.429993,0.82482
2/2/2021,1.610147,294.869995,0.82859
2/3/2021,1.618393,295.334991,0.83063
2/4/2021,1.618973,295.01001,0.8304
2/5/2021,1.6249,297.209991,0.83565
2/8/2021,1.617139,295.799988,0.82996
2/9/2021,1.61285,297.399994,0.829628
2/10/2021,1.60333,295.640015,0.825083
2/11/2021,1.60451,294.209991,0.825
2/12/2021,1.602,294.850006,0.8243
2/15/2021,1.610286,295.630005,0.82494
2/16/2021,1.59749,294.694,0.824253
2/17/2021,1.60591,296.546997,0.82696
2/18/2021,1.6139,297.294006,0.830013
2/19/2021,1.607231,296.420013,0.827
2/22/2021,1.607823,295.410004,0.82465
2/23/2021,1.601183,294.829987,0.821909
2/24/2021,1.5998,294.867004,0.8229
2/25/2021,1.601552,295.209991,0.8216
2/26/2021,1.596,297.125,0.82234
3/1/2021,1.607526,299.480011,0.82716
3/2/2021,1.61779,301.785004,0.8298
3/3/2021,1.6085,301.179993,0.82744
3/4/2021,1.6115,302.029999,0.82983
3/5/2021,1.627846,304.769989,0.83558
3/8/2021,1.6315,307.399994,0.83853
3/9/2021,1.6408,309.98999,0.84376
3/10/2021,1.6332,308.01001,0.840484
3/11/2021,1.632252,307.381989,0.8385
3/12/2021,1.625683,304.600006,0.8343
3/15/2021,1.630218,306.850006,0.83682
3/16/2021,1.63,307.730011,0.83852
3/17/2021,1.6335,308.597992,0.84022
3/18/2021,1.62113,305.769989,0.83453
3/19/2021,1.634012,309.059998,0.83905
3/22/2021,1.640792,309.546997,0.84153
3/23/2021,1.6289,306.700012,0.83801
3/24/2021,1.640302,308.845001,0.84458
3/25/2021,1.64577,308.589996,0.84652
3/26/2021,1.6513,309.200012,0.84914
3/29/2021,1.64791,307.299988,0.84832
3/30/2021,1.6522,307.875,0.849545
3/31/2021,1.662642,309.75,0.85298
4/1/2021,1.662159,308.473999,0.8526
4/2/2021,1.654776,306.540009,0.8489
4/5/2021,1.65434,307.045013,0.84975
4/6/2021,1.656644,304.799988,0.8461
4/7/2021,1.6378,303.480011,0.84216
4/8/2021,1.63721,302.220001,0.8422
4/9/2021,1.633094,300.640015,0.83923
4/12/2021,1.635026,300.170013,0.8403
4/13/2021,1.635568,299.570007,0.8393
4/14/2021,1.62637,300.411987,0.83653
4/15/2021,1.6221,298.929993,0.8343
4/16/2021,1.624,299.855011,0.8353
4/19/2021,1.6246,301.290009,0.83546
4/20/2021,1.61457,299.609985,0.8302
4/21/2021,1.619136,299.88501,0.83109
4/22/2021,1.61511,300.712006,0.83072
4/23/2021,1.621354,302.556,0.83231
4/26/2021,1.608478,300.570007,0.82714
4/27/2021,1.60907,300.700012,0.8277
4/28/2021,1.6078,299.561005,0.827109
4/29/2021,1.6018,298.109985,0.824
4/30/2021,1.607392,296.845001,0.8246
5/3/2021,1.61767,299.040009,0.83141
5/4/2021,1.621014,297.86499,0.8291
5/5/2021,1.620938,299.535004,0.83229
5/6/2021,1.6189,298.589996,0.83278
5/7/2021,1.611,296.717987,0.8286
5/10/2021,1.599747,293.880005,0.82162
5/11/2021,1.60053,294.38501,0.82366
5/12/2021,1.59981,295.040009,0.823418
5/13/2021,1.60941,295.920013,0.827917
5/14/2021,1.6092,295.34201,0.828
5/17/2021,1.6008,292.26001,0.82302
5/18/2021,1.602787,288.901001,0.82258
5/19/2021,1.5902,286.716003,0.818063
5/20/2021,1.59635,288.005005,0.8215
5/21/2021,1.5896,285.514008,0.81797
5/24/2021,1.599688,286.290009,0.8208
5/25/2021,1.59963,283.98999,0.81869
5/26/2021,1.5862,284.589996,0.816387
5/27/2021,1.5939,286.529999,0.82017
5/28/2021,1.5943,285.339996,0.82013
5/31/2021,1.5938,285.119995,0.82034
6/1/2021,1.58829,283.690002,0.81747
6/2/2021,1.5912,283.065002,0.81848
6/3/2021,1.59139,283.684998,0.81901
6/4/2021,1.6024,286.200012,0.824198
6/7/2021,1.600937,284.119995,0.8218
6/8/2021,1.59411,284.221008,0.8201
6/9/2021,1.600697,286.265015,0.8215
6/10/2021,1.596,284.119995,0.820883
6/11/2021,1.59889,283.554993,0.82152
6/14/2021,1.60557,287.325012,0.82575
6/15/2021,1.605688,288.480011,0.82493
6/16/2021,1.603,289.459015,0.8246
6/17/2021,1.62061,293.329987,0.83364
6/18/2021,1.63237,298.334991,0.83939
6/21/2021,1.644164,299.329987,0.8422
6/22/2021,1.633715,296.429993,0.83945
6/23/2021,1.631689,293.204987,0.83775
6/24/2021,1.6291,293.329987,0.838
6/25/2021,1.630287,294.395996,0.8382
6/28/2021,1.62958,293.940002,0.83737
6/29/2021,1.6302,293.678009,0.8383
6/30/2021,1.633543,295.105011,0.8402
7/1/2021,1.6396,296.144989,0.8434
7/2/2021,1.64477,296.195007,0.84415
7/5/2021,1.642233,296.399994,0.84344
7/6/2021,1.642072,296.359985,0.8429
7/7/2021,1.6447,299.089996,0.8457
7/8/2021,1.6479,302.381989,0.847932
7/9/2021,1.641391,301.234985,0.844024
7/12/2021,1.641745,298.695007,0.84225
7/13/2021,1.6386,299.222992,0.8428
7/14/2021,1.6505,303.079987,0.84923
7/15/2021,1.6425,302.54599,0.84507
7/16/2021,1.6458,303.276001,0.84661
7/19/2021,1.650262,303.98999,0.846453
7/20/2021,1.6484,305.029999,0.8479
7/21/2021,1.653567,304.834991,0.8486
7/22/2021,1.65203,304.752014,0.84798
7/23/2021,1.6514,303.610992,0.84942
7/26/2021,1.653013,305.890015,0.84937
7/27/2021,1.64691,305.899994,0.8469
7/28/2021,1.6449,303.640015,0.8458
7/29/2021,1.64121,304,0.84417
7/30/2021,1.638661,300.410004,0.840831
8/2/2021,1.63867,301.600006,0.84267
8/3/2021,1.640659,300.230011,0.84213
8/4/2021,1.64229,299.377014,0.8425
8/5/2021,1.64221,299.429993,0.84478
8/6/2021,1.646597,298.346985,0.8449
8/9/2021,1.656313,300.829987,0.8511
8/10/2021,1.65651,300.790009,0.8519
8/11/2021,1.662185,301.36499,0.853
8/12/2021,1.6557,301.070007,0.851651
8/13/2021,1.6565,300.440002,0.85206
8/16/2021,1.651683,298.665009,0.84784
8/17/2021,1.65079,298.269989,0.8489
8/18/2021,1.6607,300,0.85399
8/19/2021,1.65995,299.11499,0.85446
8/20/2021,1.6649,300.209991,0.856414
8/23/2021,1.668754,299.23999,0.85488
8/24/2021,1.65509,297.772003,0.85146
8/25/2021,1.6541,296,0.85084
8/26/2021,1.6515,295.730011,0.8493
8/27/2021,1.65135,296.484985,0.8506
8/30/2021,1.65242,295.718994,0.847529
8/31/2021,1.64861,294.696014,0.84768
9/1/2021,1.6461,295.320007,0.84672
9/2/2021,1.64185,293.549988,0.84453
9/3/2021,1.64089,293.429993,0.842
9/6/2021,1.639369,292.285004,0.84133
9/7/2021,1.639318,292.733002,0.8421
9/8/2021,1.6415,293.910004,0.84434
9/9/2021,1.6449,295.820007,0.846088
9/10/2021,1.64453,296.173004,0.8456
9/13/2021,1.646774,296.265015,0.8466
9/14/2021,1.64591,296.179993,0.8466
9/15/2021,1.64701,296.130005,0.8471
9/16/2021,1.64451,294.964996,0.846024
9/17/2021,1.65253,297.820007,0.8498
9/20/2021,1.658435,300.429993,0.85252
9/21/2021,1.6579,301.670013,0.8525
9/22/2021,1.661676,300.470001,0.85303
9/23/2021,1.661878,303.690002,0.8556
9/24/2021,1.6559,303.105011,0.85177
9/27/2021,1.65917,303.984985,0.85302
9/28/2021,1.6623,305.779999,0.854935
9/29/2021,1.667287,307.519989,0.8557
9/30/2021,1.66961,310.325012,0.86195
10/1/2021,1.6789,310.065002,0.86397
10/4/2021,1.680192,307.424988,0.86153
10/5/2021,1.67311,306.781006,0.8607
10/6/2021,1.6765,308.350006,0.86236
10/7/2021,1.686026,310.48999,0.8654
10/8/2021,1.6827,310.015015,0.86507
10/11/2021,1.683577,311.809998,0.8646
10/12/2021,1.68353,310.785004,0.86552
10/13/2021,1.68671,312.329987,0.867
10/14/2021,1.67675,310.326996,0.8621
10/15/2021,1.6763,309.450012,0.8627
10/18/2021,1.680236,309.825012,0.86229
10/19/2021,1.6747,311.234985,0.86104
10/20/2021,1.674495,311.269989,0.8597
10/21/2021,1.66867,310.653015,0.858
10/22/2021,1.675799,313.059998,0.86019
10/25/2021,1.673791,312.470001,0.8591
10/26/2021,1.6749,314.790009,0.8612
10/27/2021,1.67677,314.445007,0.8622
10/28/2021,1.6757,312.959991,0.86206
10/29/2021,1.6643,309.140015,0.8559
11/1/2021,1.682,311.390015,0.8653
11/2/2021,1.679255,310.510986,0.8621
11/3/2021,1.6792,310.200012,0.8636
11/4/2021,1.677779,308.709991,0.8609
11/5/2021,1.686328,311.320007,0.8654
11/8/2021,1.6813,310.089996,0.86439
11/9/2021,1.678,311.429993,0.8627
11/10/2021,1.67801,310.820007,0.8624
11/11/2021,1.6937,316.299988,0.87063
11/12/2021,1.69821,318.769989,0.8733
11/15/2021,1.6992,320.359985,0.874
11/16/2021,1.71041,321.614014,0.87978
